Sample,Haplotype,SNPDistance,Titer
DA-C10,H57,25.04,10.015336706376
DA-C11,H57,25.04,9.52348775840771
DA-C12,H57,25.04,10.7092020683818
DA-C3,H57,25.04,9.76393584555996
DA-C4,H57,25.04,4.10873327145991
DA-C5,H57,25.04,11.5292613547759
DA-C6,H57,25.04,11.8308996265682
DA-C9,H57,25.04,12.0784901800407
DA-D10,H57,25.04,8.47445721014137
DA-D12,H57,25.04,7.9355251832969
DA-D2,H57,25.04,7.42339063740769
DA-D3,H57,25.04,10.5618271417801
DA-D4,H57,25.04,11.3643701767016
DA-D5,H57,25.04,7.68380500474843
DA-D6,H57,25.04,8.05018904322616
DA-D7,H57,25.04,6.25681663205267
DA-D8,H57,25.04,3.11912781846191
DA-E1,H57,25.04,11.3776591110275
DA-E10,H57,25.04,8.20628169971775
DA-E11,H57,25.04,9.80210965128642
DA-E12,H57,25.04,9.26457909432878
DA-E2,H57,25.04,7.02186388328752
DA-E4,H57,25.04,7.14539020133858
DA-E7,H57,25.04,10.1894674521133
DA-E8,H57,25.04,11.6121263842039
DA-E9,H57,25.04,8.86555650525801
DA-F10,H57,25.04,8.79590915063875
DA-F11,H57,25.04,9.98545106044505
DA-F12,H57,25.04,10.4272905349418
DA-F2,H57,25.04,10.3858157494524
DA-F3,H57,25.04,10.2211184907079
DA-F5,H57,25.04,10.4736162570324
DA-F6,H57,25.04,9.57941848362745
DA-F7,H57,25.04,11.9259927035212
DA-F8,H57,25.04,4.9799628336342
DA-F9,H57,25.04,9.42160290265459
DA-G1,H57,25.04,11.2543693502873
DA-G10,H57,25.04,9.55318703442151
DA-G11,H57,25.04,8.74179189148777
DA-G12,H57,25.04,10.2321297859627
DA-G2,H57,25.04,10.1531041792562
DA-G5,H57,25.04,7.55460107952849
DA-G6,H57,25.04,7.48747337479522
DA-G8,H57,25.04,11.3409962205491
DA-G9,H57,25.04,10.7047747909948
DA-H1,H57,25.04,11.1600069852483
DA-H10,H57,25.04,4.15707890211554
DA-H11,H57,25.04,10.0041566657544
DA-H2,H57,25.04,8.20063933813631
DA-H4,H57,25.04,7.96031884728749
DA-H5,H57,25.04,10.8729263486483
DA-H6,H57,25.04,12.3218467757978
DA-H8,H57,25.04,8.65200536474088
DA-H9,H57,25.04,6.30143384151625
DB-A1,H57,25.04,6.23221573024212
DB-A10,H57,25.04,5.35619327292864
DB-A11,H57,25.04,10.684881342705
DB-A12,H57,25.04,7.07977811049063
DB-A2,H57,25.04,2.69888499529103
DB-A3,H57,25.04,10.9000513716982
DB-A5,H57,25.04,12.5895444305194
DB-A6,H57,25.04,0
DB-A8,H57,25.04,4.28874866353402
DB-A9,H57,25.04,4.77675320721047
DB-B1,H57,25.04,11.1513992727321
DB-B11,H57,25.04,7.71639157729053
DB-B12,H57,25.04,5.84272161485435
DB-B2,H57,25.04,3.51633321285886
DB-B3,H57,25.04,11.4272477981936
DB-B4,H57,25.04,4.18506330841793
DB-B5,H57,25.04,11.8404018961054
DB-B6,H57,25.04,4.75452921560207
DB-B7,H57,25.04,0
DB-B8,H57,25.04,0
DB-B9,H57,25.04,9.38948254655336
DB-C10,H57,25.04,2.78735340464072
DB-C11,H57,25.04,10.4132080909201
DB-C12,H57,25.04,11.4389569677048
DB-C2,H57,25.04,12.1702211422098
DB-C3,H57,25.04,8.72400181122141
DB-C5,H57,25.04,9.6000671463464
DB-C6,H57,25.04,3.13038837720388
DB-D1,H57,25.04,5.94632556550168
DB-D10,H57,25.04,3.33100682895559
DB-D12,H57,25.04,12.2845785575533
DB-D2,H57,25.04,11.8861293305322
DB-D3,H57,25.04,4.35625125407049
DB-D5,H57,25.04,2.04713371934261
DB-D9,H57,25.04,4.2465041897911
DB-E10,H57,25.04,0
DB-E11,H57,25.04,9.12314977892831
DB-E2,H57,25.04,10.4890427016802
DB-E3,H57,25.04,4.09574875088758
DB-E4,H57,25.04,7.32427680567281
DB-E6,H57,25.04,2.48718397138827
DB-E9,H57,25.04,5.26795851485226
DB-F10,H57,25.04,10.4226209311429
DB-F11,H57,25.04,10.6947936468566
DB-F12,H57,25.04,5.90272354791115
DB-F3,H57,25.04,11.2021448978134
DB-F5,H57,25.04,7.7532375278581
DB-F6,H57,25.04,6.24379067164605
DB-F7,H57,25.04,10.8250559828267
DB-F8,H57,25.04,6.67699211576544
DB-G1,H57,25.04,12.2149997550511
DB-G10,H57,25.04,11.8765078078064
